               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,              0.0993,            0.055651,            0.024229,           0.0068359,             0.38889,            0.029069,            0.005212,            0.098104,            0.056786,            0.023759,            0.042907,           0.0059071,           0.0059071
                  63,              0.0993,            0.055651,            0.024229,           0.0068359,             0.38889,            0.029069,            0.005212,            0.098104,            0.056786,            0.023759,            0.042907,           0.0059071,           0.0059071
                  64,            0.095131,            0.054834,            0.023363,           0.0068359,             0.38889,            0.029069,            0.005212,            0.098104,            0.056786,            0.023759,            0.041994,           0.0059945,           0.0059945
                  64,            0.095131,            0.054834,            0.023363,           0.0068359,             0.38889,            0.029069,            0.005212,            0.098104,            0.056786,            0.023759,            0.041994,           0.0059945,           0.0059945
                  65,            0.092801,             0.04936,             0.02483,           0.0059524,             0.33333,            0.014684,           0.0036196,             0.09728,            0.057489,             0.02293,            0.041082,           0.0060817,           0.0060817
                  65,            0.092801,             0.04936,             0.02483,           0.0059524,             0.33333,            0.014684,           0.0036196,             0.09728,            0.057489,             0.02293,            0.041082,           0.0060817,           0.0060817
                  66,              0.1001,            0.067254,              0.0251,           0.0059524,             0.33333,            0.014684,           0.0036196,             0.09728,            0.057489,             0.02293,            0.040169,           0.0061688,           0.0061688
                  66,              0.1001,            0.067254,              0.0251,           0.0059524,             0.33333,            0.014684,           0.0036196,             0.09728,            0.057489,             0.02293,            0.040169,           0.0061688,           0.0061688
                  67,              0.1027,             0.08517,            0.023663,           0.0059524,             0.33333,            0.014684,           0.0036196,             0.09728,            0.057489,             0.02293,            0.039256,           0.0062556,           0.0062556
                  67,              0.1027,             0.08517,            0.023663,           0.0059524,             0.33333,            0.014684,           0.0036196,             0.09728,            0.057489,             0.02293,            0.039256,           0.0062556,           0.0062556
                  68,             0.07969,            0.029493,            0.029483,            0.005618,             0.33333,            0.029217,           0.0066219,            0.097024,            0.057084,            0.021695,            0.038342,           0.0063422,           0.0063422
                  68,             0.07969,            0.029493,            0.029483,            0.005618,             0.33333,            0.029217,           0.0066219,            0.097024,            0.057084,            0.021695,            0.038342,           0.0063422,           0.0063422
                  69,            0.098161,            0.058304,             0.02337,            0.005618,             0.33333,            0.029217,           0.0066219,            0.097024,            0.057084,            0.021695,            0.037429,           0.0064287,           0.0064287
                  69,            0.098161,            0.058304,             0.02337,            0.005618,             0.33333,            0.029217,           0.0066219,            0.097024,            0.057084,            0.021695,            0.037429,           0.0064287,           0.0064287
                  70,             0.10306,            0.060628,            0.023706,            0.005618,             0.33333,            0.029217,           0.0066219,            0.097024,            0.057084,            0.021695,            0.036515,           0.0065149,           0.0065149
                  70,             0.10306,            0.060628,            0.023706,            0.005618,             0.33333,            0.029217,           0.0066219,            0.097024,            0.057084,            0.021695,            0.036515,           0.0065149,           0.0065149
                  71,             0.10199,            0.062671,            0.023653,            0.063959,             0.11111,            0.035116,            0.006752,            0.096914,            0.056707,            0.021431,            0.035601,           0.0066009,           0.0066009
                  71,             0.10199,            0.062671,            0.023653,            0.063959,             0.11111,            0.035116,            0.006752,            0.096914,            0.056707,            0.021431,            0.035601,           0.0066009,           0.0066009
